gene,sig_population,Early_G1,Late_G1,S,G2_M,state
Lsm10,2,0.91040776,0.8475728,0.099923145,0.381764322,up
Itga2b,3,0.990585831,0.791525885,0.119765692,0.28699271,up
Mavs,4,1.656557227,0.708190484,1.00110658,0.657129313,up
Cnot2,2,1.146358221,0.791172533,-0.072739865,1.028569768,up
Pttg1ip,2,1.310732014,0.19431108,0.19170731,1.004011286,up
Pgrmc1,2,1.673314946,0.847345053,1.340664208,0.983301644,up
Rabepk,3,1.514819013,1.169225717,1.065607541,1.221047042,up
Morf4l1,2,1.116733611,0.850218161,0.963289055,0.15723201,up
Fahd1,2,0.823210632,0.801172959,-0.517084896,-0.172190075,up
Xrcc5,3,1.06029667,0.551488253,0.598665111,-0.231545889,up
Cdadc1,2,1.305204199,0.655234975,1.167784255,1.039027063,up
Ubash3a,2,1.551994292,1.019519948,1.450959953,1.386474082,up
Akr1b3,4,2.553457739,1.837866049,1.974887412,1.885414253,up
Tnfrsf18,2,1.087121961,0.815009298,1.029875598,0.238295693,up
Gtf2h4,3,1.22549499,1.00541672,0.83129436,0.696387574,up
Hdac10,3,1.454267544,0.918987382,0.984920122,1.215909806,up
Itgb1,3,1.416703545,1.049720034,1.077646715,1.192672574,up
Ltc4s,3,1.028338131,0.902426667,0.6379764,0.199495865,up
Abhd11,4,2.30889419,2.074131594,1.561561494,0.674402977,up
Cct5,3,1.32621247,1.242531337,1.324563631,1.081832931,up
Nmd3,2,1.630471405,1.570830984,0.988307243,1.471321531,up
Polr2h,2,2.026995088,1.252537712,1.794547591,0.959845346,up
Rpl22l1,2,1.401942978,0.555540246,1.321132658,0.978461352,up
Mrfap1,2,1.152620695,0.95095401,0.76668518,0.912660113,up
Smad2,2,0.897934796,0.761830263,0.889020507,0.728589839,up
Lass5,3,0.575476384,0.570051852,0.416291766,0.362220153,up
Ipo4,2,0.315719402,0.642929116,0.343248003,-0.082339007,up
Cdca7,6,6.246937189,6.538537271,6.292277565,3.858689641,up
Mcm4,6,5.84401623,6.546899051,6.325240072,3.841125212,up
Mcm2,6,5.724924972,6.877576633,6.670435183,3.453951362,up
Mcm3,6,6.482462569,7.194641081,6.79400908,4.105638823,up
Fubp1,3,1.545978126,1.869554699,1.805112964,1.127828649,up
Il27ra,2,0.83407998,0.993999273,0.184356384,-0.480363532,up
Bzw2,5,2.611830929,3.411871824,3.160742436,2.427198691,up
Zfp422,3,1.672900367,2.647779971,2.485031957,2.288290816,up
Abcf2,5,2.270880845,3.854474762,3.089500104,2.375314554,up
Rfc2,6,3.814524296,4.569296436,4.359034643,2.892999332,up
Amd1,2,0.831266815,2.129530827,1.723578769,1.368244755,up
Psma5,3,2.030641211,2.402501334,2.283971156,2.112388028,up
Eif2s1,5,2.064375838,2.996766362,2.883915155,2.469383215,up
Nono,4,1.506617216,2.211354709,2.189679894,1.692879104,up
Mki67ip,3,1.812316263,2.802502246,1.786947238,1.938866438,up
B4galnt1,5,1.759322729,2.424006366,1.921041325,1.157986137,up
Tmem134,2,0.663376053,1.141960795,0.477981741,0.926088743,up
Ninj1,2,0.764482694,1.016243806,0.272958878,-0.779796428,up
Polr2f,6,2.103180062,3.481232216,3.413601601,2.580575825,up
Mrpl54,5,1.192634365,3.229399483,3.022955578,2.726974602,up
Mrps7,5,1.332303885,2.312509279,2.270251705,1.619923524,up
Rpl7l1,3,0.827191746,1.078540365,0.537136376,1.038538448,up
Hmga1,6,2.498528369,3.246228885,2.992917803,1.949636496,up
Ndufv2,3,1.845671603,2.277477104,2.216463497,1.94427482,up
Nop56,5,2.412124925,2.845057705,2.769739553,1.578952436,up
Snx5,3,1.32466352,1.852680227,1.657187683,0.919674409,up
Spag7,2,0.766044828,1.575843599,1.356349939,1.290903823,up
Inpp5f,6,1.728735504,2.18473356,1.626610269,0.523543948,up
Ncf4,2,1.833906415,2.735233845,2.647179005,1.193006275,up
Eif3a,2,1.434503265,2.055815984,1.660685119,1.5741907,up
Tars,2,1.275463331,2.122938013,1.446590382,1.762842343,up
Bad,4,1.244488581,2.223622556,1.888805037,0.6985517,up
Ndufaf4,3,1.305589716,1.575747153,1.456057447,0.803530255,up
Ung,6,2.533947793,3.741748262,2.61109792,-0.086431849,up
Slco4a1,3,0.945116347,1.036063889,0.547465731,0.512955351,up
Lyn,2,0.878232475,0.885295675,0.286594576,0.812871561,up
Wdr12,3,2.471127219,2.67616407,2.290075885,2.21466294,up
Prkdc,5,1.132702207,1.565404926,1.319869574,0.476486679,up
Tmem97,4,1.270003689,2.687419548,2.340991065,1.727716212,up
Zdhhc12,2,0.77243096,1.223397101,0.193462636,0.802147809,up
Pdia6,3,1.279030652,1.953120787,1.758857592,1.132146124,up
Usp37,6,2.382346368,3.111840089,2.883537379,1.11435348,up
Got2,3,1.037417161,2.199413021,1.925217659,1.548047162,up
Cdk2,6,1.858492058,2.711769011,2.309726518,1.591847221,up
Drg1,4,1.526384174,2.330864917,1.944963839,1.438676194,up
